flavor,type,survey_counts,r_ladies_counts,survey_percent,r_percent
apple,fruit,514,13,0.22966934763181412,0.203125
blueberry,fruit,5,2,0.002234137622877569,0.03125
buttermilk,other,35,0,0.015638963360142984,0
cherry,fruit,114,2,0.05093833780160858,0.03125
chocolate,other,133,4,0.059428060768543345,0.0625
coconut cream,fruit,36,1,0.0160857908847185,0.015625
key lime,fruit,39,0,0.01742627345844504,0
lemon meringue,fruit,5,1,0.002234137622877569,0.015625
mincemeat,other,12,0,0.005361930294906166,0
none,none,40,1,0.017873100983020553,0.015625
other,other,43,4,0.019213583556747096,0.0625
peach,fruit,34,2,0.01519213583556747,0.03125
pecan,other,345,13,0.15415549597855227,0.203125
pumpkin,fruit,730,19,0.3261840929401251,0.296875
sweet potato,other,153,2,0.06836461126005362,0.03125
